M‚tier;Grand secteur;Nombre de projets;Nombre de projets difficiles;Nombre de projets saisonniers
Marins, pˆcheurs, aquaculteurs;Services aux entreprises;2310;730;1850
Marins, pˆcheurs, aquaculteurs;Services aux particuliers;300;30;280
M‚decins et assimil‚s;Agriculture;10;10;10
M‚decins et assimil‚s;Industrie;30;20;0
M‚decins et assimil‚s;Construction;0;0;0
M‚decins et assimil‚s;Commerce;3770;2570;910
M‚decins et assimil‚s;Services aux entreprises;2170;1790;340
M‚decins et assimil‚s;Services aux particuliers;7280;5410;260
Ouvriers des industries graphiques;Industrie;2260;990;210
Ouvriers des industries graphiques;Construction;30;20;0
Ouvriers des industries graphiques;Commerce;80;40;30
Ouvriers des industries graphiques;Services aux entreprises;790;130;100
Ouvriers des industries graphiques;Services aux particuliers;120;10;30
Ouvriers non qualifi‚s de l'‚lectricit‚ et de l'‚lectronique;Agriculture;0;0;0
Ouvriers non qualifi‚s de l'‚lectricit‚ et de l'‚lectronique;Industrie;3420;1340;220
Ouvriers non qualifi‚s de l'‚lectricit‚ et de l'‚lectronique;Construction;1010;660;50
Ouvriers non qualifi‚s de l'‚lectricit‚ et de l'‚lectronique;Commerce;140;60;60
Ouvriers non qualifi‚s de l'‚lectricit‚ et de l'‚lectronique;Services aux entreprises;820;440;190
Ouvriers non qualifi‚s de l'‚lectricit‚ et de l'‚lectronique;Services aux particuliers;190;120;30
Ouvriers non qualifi‚s de la manutention;Agriculture;3310;1800;2940
Ouvriers non qualifi‚s de la manutention;Industrie;12530;3140;3710
Ouvriers non qualifi‚s de la manutention;Construction;380;80;120
Ouvriers non qualifi‚s de la manutention;Commerce;25510;8730;12490
Ouvriers non qualifi‚s de la manutention;Services aux entreprises;27110;12230;10510
Ouvriers non qualifi‚s de la manutention;Services aux particuliers;2990;1190;800
Ouvriers non qualifi‚s de la m‚canique;Agriculture;80;50;20
Ouvriers non qualifi‚s de la m‚canique;Industrie;6850;3000;570
Ouvriers non qualifi‚s de la m‚canique;Construction;520;410;20
Ouvriers non qualifi‚s de la m‚canique;Commerce;6670;4930;540
